¥Ó½Ð¤é´Á,¾÷ºØ®Æ¸¹,¾÷ºØ«~¦W,²£´ú®Æ¸¹- ¬y¤ô¸¹,"²£´ú®Æ¸¹-
 ª©¥»¸¹",¬y¤ô¸¹+ª©¥»¸¹,²£´ú«~¦W,­t³d¤H,µ{¦¡­×§ï,¥¿¦¡ EC,³Æµù(EC³æ¸¹),"EC
 ´£¥X¤é´Á","EC
 §¹¦¨¤é´Á",,,,,,,,,,,
2022/10/3,5216A2095000,MR44-HW,FA7000002,221,FA7000002221,Test MR44-HW PCBA Test 2.21,ÄÊ¼Ý,Done,Done,SENAO111-202211-0081,2022/11/14,2022/11/23,,,,,,,,,,,
2022/10/3,1102A1380300,MR44-HW,FA7000003,241,FA7000003241,Test MR44-HW Power Calibration 2.41,ÄÊ¼Ý,Done,Done,SENAO111-202211-0081,2022/11/14,2022/11/23,,,,,,,,,,,
2022/10/3,1102A1380300,MR44-HW,FA7000004,241,FA7000004241,Test MR44-HW Throughput Test 2.41,ÄÊ¼Ý,Done,X,µ{¦¡¦A¶iª©,X,X,,,,,,,,,,,
2022/10/3,1102A1380300,MR44-HW,FA7000005,211,FA7000005211,Test MR44-HW MAC&IIP 2.11,ÄÊ¼Ý,Done,X,µ{¦¡¦A¶iª©,X,X,,,,,,,,,,,
2022/10/3,1402A0312300,ECS1552v2 (FCC),FA7000014,204,FA7000014204,Test ECS1552v2 (FCC) InnerLoop Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0312300,ECS1552v2 (FCC),FA7000015,201,FA7000015201,Test ECS1552v2 (FCC) System Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0312300,ECS1552v2 (FCC),FA7000016,211,FA7000016211,Test ECS1552v2 (FCC) MAC Test 2.11,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0312301,ECS1552v2 (ETSI),FA7000017,201,FA7000017201,Test ECS1552v2 (ETSI) InnerLoop Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0312301,ECS1552v2 (ETSI),FA7000018,201,FA7000018201,Test ECS1552v2 (ETSI) System Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0312301,ECS1552v2 (ETSI),FA7000019,211,FA7000019211,Test ECS1552v2 (ETSI) MAC Test 2.11,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0313300,ECS1528T (FCC),FA7000020,201,FA7000020201,Test ECS1528T (FCC) InnerLoop Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0313300,ECS1528T (FCC),FA7000021,201,FA7000021201,Test ECS1528T (FCC) System Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0313300,ECS1528T (FCC),FA7000022,211,FA7000022211,Test ECS1528T (FCC) MAC Test 2.11,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0313301,ECS1528T (ETSI),FA7000023,201,FA7000023201,Test ECS1528T (ETSI) InnerLoop Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0313301,ECS1528T (ETSI),FA7000024,201,FA7000024201,Test ECS1528T (ETSI) System Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0313301,ECS1528T (ETSI),FA7000025,211,FA7000025211,Test ECS1528T (ETSI) MAC Test 2.11,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1102A1475300,W-318 PRODUCT,FA7000026,221,FA7000026221,Test W-318 Customer FW Upgrade Test 2.21,Â@¶f,Done,Done,SENAO111-202212-0001,2022/12/1,2022/12/14,,,,,,,,,,,
2022/10/3,1102A1475300,W-318 PRODUCT,FA7000027,241,FA7000027241,Test W-318 Throughput Test 2.41,Â@¶f,Done,Done,SENAO111-202212-0001,2022/12/1,2022/12/14,,,,,,,,,,,
2022/10/3,5216A2663000,W-318 PRODUCT,FA7000028,211,FA7000028211,Test W-318 Write_BLE_MAC 2.11,Â@¶f,,,,,,,,,,,,,,,,
2022/10/3,1102A1475300,W-318 PRODUCT,FA7000029,221,FA7000029221,Test W-318 MAC 2.21,Â@¶f,Done,Done,SENAO111-202212-0001,2022/12/1,2022/12/14,,,,,,,,,,,
2022/10/3,5216A2663000,W-318 ADJUST,FA7000030,221,FA7000030221,Test W-318 BLE FW Upgrade 2.21,Â@¶f,Done,Done,SENAO111-202212-0072,2022/12/12,2022/12/21,,,,,,,,,,,
2022/10/3,5216A2663000,W-318 ADJUST,FA7000031,251,FA7000031251,Test W-318 Power Calibratio BLE2G+5G+6G 2.51,Â@¶f,Done,Done,SENAO111-202212-0001,2022/12/1,2022/12/14,,,,,,,,,,,
2022/10/3,1102A1475301,W-318-RW PRODUCT,FA7000032,221,FA7000032221,Test W-318-RW Customer FW Upgrade Test 2.21,Â@¶f,Done,Done,SENAO111-202212-0001,2022/12/1,2022/12/14,,,,,,,,,,,
2022/10/3,1102A1475301,W-318-RW PRODUCT,FA7000033,241,FA7000033241,Test W-318-RW Throughput Test 2.41,Â@¶f,Done,Done,SENAO111-202212-0001,2022/12/1,2022/12/14,,,,,,,,,,,
2022/10/3,1102A1475301,W-318-RW PRODUCT,FA7000034,211,FA7000034211,Test W-318-RW BLE MAC 2.11,Â@¶f,X,X,§R°£(12/5§R°£FA7),X,X,,,,,,,,,,,
2022/10/3,1102A1475301,W-318-RW PRODUCT,FA7000035,221,FA7000035221,Test W-318-RW MAC 2.21,Â@¶f,Done,Done,SENAO111-202212-0001,2022/12/1,2022/12/14,,,,,,,,,,,
2022/10/3,1402A0097329,ECS1528FPv4 (FCC),FA7000036,201,FA7000036201,Test ECS1528FPv4 (FCC) InnerLoop Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0097329,ECS1528FPv4 (FCC),FA7000037,201,FA7000037201,Test ECS1528FPv4 (FCC) PowerLoad Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0097329,ECS1528FPv4 (FCC),FA7000038,201,FA7000038201,Test ECS1528FPv4 (FCC) system Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0097329,ECS1528FPv4 (FCC),FA7000039,211,FA7000039211,Test ECS1528FPv4 (FCC) MAC 2.11,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0097330,ECS1528FPv4 (ETSI),FA7000040,201,FA7000040201,Test ECS1528FPv4 (ETSI) InnerLoop Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0097330,ECS1528FPv4 (ETSI),FA7000041,201,FA7000041201,Test ECS1528FPv4 (ETSI) PowerLoad Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0097330,ECS1528FPv4 (ETSI),FA7000042,201,FA7000042201,Test ECS1528FPv4 (ETSI) system Test 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1402A0097330,ECS1528FPv4 (ETSI),FA7000043,201,FA7000043201,Test ECS1528FPv4 (ETSI) MAC 2.01,¬M¥ô,,,,,,,,,,,,,,,,
2022/10/3,1102A1369300,C-260 PRODUCT,FA7000044,211,FA7000044211,Test C-260 Customer FW Upgrade Test 2.11,Â@¶f,Done,Done,SENAO111-202307-0125,2023/7/26,2023/8/2,,,,,,,,,,,
2022/10/3,1102A1369300,C-260 PRODUCT,FA7000045,221,FA7000045221,Test C-260 Fianl Test 2.21,Â@¶f,,,,,,,,,,,,,,,,
2022/10/3,1102A1369300,C-260 PRODUCT,FA7000046,241,FA7000046241,Test C-260 Power Calibration Radio1 2.41,Â@¶f,,,,,,,,,,,,,,,,
2022/10/3,1102A1369300,C-260 PRODUCT,FA7000047,231,FA7000047231,Test C-260 Power Calibration Radio2 2.31,Â@¶f,,,,,,,,,,,,,,,,
2022/10/3,1102A1369300,C-260 PRODUCT,FA7000048,241,FA7000048241,Test C-260 Power Calibration Radio3 2.41,Â@¶f,,,,,,,,,,,,,,,,
2022/10/3,1102A1369300,C-260 PRODUCT,FA7000049,221,FA7000049221,Test C-260 Throughput Test 2G+5G 11AC 2.21,Â@¶f,Done,Done,SENAO111-202307-0125,2023/7/26,2023/8/2,,,,,,,,,,,
2022/10/3,1102A1369300,C-260 PRODUCT,FA7000050,221,FA7000050221,Test C-260 Throughput Test 2G 11AX 2.21,Â@¶f,Done,Done,SENAO111-202307-0125,2023/7/26,2023/8/2,,,,,,,,,,,
2022/10/3,1102A1369300,C-260 PRODUCT,FA7000051,221,FA7000051221,Test C-260 Throughput Test 5G 11AX 2.21,Â@¶f,Done,Done,SENAO111-202307-0125,2023/7/26,2023/8/2,,,,,,,,,,,
2022/10/3,1102A1369300,C-260 PRODUCT,FA7000052,231,FA7000052231,Test C-260 MAC 2.31,Â@¶f,X,X,X,X,X,,,,,,,,,,,
2022/10/3,1402A0274800,ESG510 (FCC),FA7000053,200,FA7000053200,Test ESG510 (FCC) Fianl Test 2.00,À³§B,Done,Done,SENAO111-202212-0128,2022/12/15,2022/12/20,,,,,,,,,,,
2022/10/3,1402A0274800,ESG510 (FCC),FA7000054,200,FA7000054200,Test ESG510 (FCC) MAC 2.00,À³§B,Done,Done,SENAO111-202212-0128,2022/12/15,2022/12/20,,,,,,,,,,,
2022/10/3,1402A0274800,ESG510 (FCC),FA7000055,200,FA7000055200,Test ESG510 (FCC) MAC Check 2.00,À³§B,Done,Done,SENAO111-202212-0128,2022/12/15,2022/12/20,,,,,,,,,,,
2022/10/3,1402A0274801,ESG510 (ETSI),FA7000056,200,FA7000056200,Test ESG510 (ETSI) Fianl Test 2.00,À³§B,Done,Done,SENAO111-202301-0045,2023/1/6,2023/1/10,,,,,,,,,,,
2022/10/3,1402A0274801,ESG510 (ETSI),FA7000057,200,FA7000057200,Test ESG510 (ETSI) MAC 2.00,À³§B,Done,Done,SENAO111-202301-0045,2023/1/6,2023/1/10,,,,,,,,,,,
2022/10/3,1402A0274801,ESG510 (ETSI),FA7000058,200,FA7000058200,Test ESG510 (ETSI) MAC Check 2.00,À³§B,Done,Done,SENAO111-202301-0045,2023/1/6,2023/1/10,,,,,,,,,,,
2022/10/3,1402A0274802,ESG510 (UK),FA7000059,200,FA7000059200,Test ESG510 (UK) Fianl Test 2.00,À³§B,,,,,,,,,,,,,,,,
2022/10/3,1402A0274802,ESG510 (UK),FA7000060,200,FA7000060200,Test ESG510 (UK) MAC 2.00,À³§B,,,,,,,,,,,,,,,,
2022/10/3,1402A0274802,ESG510 (UK),FA7000061,200,FA7000061200,Test ESG510 (UK) MAC Check 2.00,À³§B,,,,,,,,,,,,,,,,
2022/10/4,1102A1372300,C-230 PRODUCT,FA7000062,321,FA7000062321,Test C-230 Customer FW Upgrade Test 3.21,Â@¶f,X,X,X,X,X,,,,,,,,,,,
2022/10/4,1102A1372300,C-230 PRODUCT,FA7000063,251,FA7000063251,Test C-230 Fianl Test 2.51,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,5216A2054000,C-230 PRODUCT,FA7000064,231,FA7000064231,Test C-230 Power Calibration Radio3 2.31,Â@¶f,X,X,²£´ú¶iª©,X,X,,,,,,,,,,,
2022/10/4,5216A2054000,C-230,FA7000065,241,FA7000065241,Test C-230 Power Calibration Radio12 2.41,Â@¶f,Done,Done,SENAO111-202212-0190,2022/12/26,2022/12/28,,,,,,,,,,,
2022/10/4,1102A1372300,C-230 PRODUCT,FA7000066,231,FA7000066231,Test C-230 Throughput Test 2G+5G 11AC 2.31,Â@¶f,Done,Done,SENAO111-202307-0140,2023/7/28,2023/8/7,,,,,,,,,,,
2022/10/4,1102A1372300,C-230 PRODUCT,FA7000067,241,FA7000067241,Test C-230 MAC 2.41,Â@¶f,X,X,X,X,X,,,,,,,,,,,
2022/10/4,1102A1373300,C-230E PRODUCT,FA7000068,321,FA7000068321,Test C-230E Customer FW Upgrade Test 3.21,Â@¶f,X,X,X,X,X,,,,,,,,,,,
2022/10/4,1102A1373300,C-230E PRODUCT,FA7000069,251,FA7000069251,Test C-230E Fianl Test 2.51,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1373300,C-230E PRODUCT,FA7000070,231,FA7000070231,Test C-230E Power Calibration Radio3 2.31,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1373300,C-230E PRODUCT,FA7000071,241,FA7000071241,Test C-230E Power Calibration Radio12 2.41,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1373300,C-230E PRODUCT,FA7000072,221,FA7000072221,Test C-230E Throughput Test 2G+5G 11AC 2.21,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1373300,C-230E PRODUCT,FA7000073,221,FA7000073221,Test C-230E Throughput Test 2G+5G 11AX 2.21,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1373300,C-230E PRODUCT,FA7000074,241,FA7000074241,Test C-230E MAC 2.41,Â@¶f,X,X,X,X,X,,,,,,,,,,,
2022/10/4,1102A1389300,FAP-231F(US) PRODUCT,FA7000075,301,FA7000075301,Test FAP-231F(US) Power Calibratio 3.01,¯Õ·z,,,,,,,,,,,,,,,,
2022/10/4,1102A1389300,FAP-231F(US) PRODUCT,FA7000076,261,FA7000076261,Test FAP-231F(US) Throughput Test 2.61,¯Õ·z,X,X,µ{¦¡¶iª©(¼W¥[²£´ú®Æ¸¹),X,X,,,,,,,,,,,
2022/10/4,1102A1389300,FAP-231F(US) PRODUCT,FA7000077,421,FA7000077421,Test FAP-231F(US) MAC 4.21,¯Õ·z,X,X,µ{¦¡¶iª©(¼W¥[²£´ú®Æ¸¹),X,X,,,,,,,,,,,
2022/10/4,1102A1389301,FAP-231F(EU) PRODUCT,FA7000078,301,FA7000078301,Test FAP-231F(EU) Power Calibratio 3.01,¯Õ·z,,,,,,,,,,,,,,,,
2022/10/4,1102A1389301,FAP-231F(EU) PRODUCT,FA7000079,261,FA7000079261,Test FAP-231F(EU) Throughput Test 2.61,¯Õ·z,X,X,µ{¦¡¶iª©(¼W¥[²£´ú®Æ¸¹),X,X,,,,,,,,,,,
2022/10/4,1102A1389301,FAP-231F(EU) PRODUCT,FA7000080,421,FA7000080421,Test FAP-231F(EU) MAC 4.21,¯Õ·z,X,X,µ{¦¡¶iª©(¼W¥[²£´ú®Æ¸¹),X,X,,,,,,,,,,,
2022/10/4,1402A0212301,FS-1024E (US) PRODUCT,FA7000081,221,FA7000081221,Test FS-1024E (US) Fianl Test 2.21,¬M¥ô,Done,Done,SENAO111-202212-0171,2022/12/22,2023/1/6,,,,,,,,,,,
2022/10/4,1402A0212301,FS-1024E (US) PRODUCT,FA7000082,221,FA7000082221,Test FS-1024E (US) InnerLoop Test 2.21,¬M¥ô,Done,Done,SENAO111-202212-0171,2022/12/22,2023/1/6,,,,,,,,,,,
2022/10/4,1402A0212301,FS-1024E (US) PRODUCT,FA7000083,221,FA7000083221,Test FS-1024E (US) System Test 2.21,¬M¥ô,Done,Done,SENAO111-202212-0171,2022/12/22,2023/1/6,,,,,,,,,,,
2022/10/4,1402A0212301,FS-1024E (US) PRODUCT,FA7000084,241,FA7000084241,Test FS-1024E (US) MAC 2.41,¬M¥ô,Done,Done,SENAO111-202212-0171,2022/12/22,2023/1/6,,,,,,,,,,,
2022/10/4,1402A0212302,FS-1024E (EU) PRODUCT,FA7000085,221,FA7000085221,Test FS-1024E (EU) Fianl Test 2.21,¬M¥ô,Done,Done,SENAO111-202212-0171,2022/12/22,2023/1/6,,,,,,,,,,,
2022/10/4,1402A0212302,FS-1024E (EU) PRODUCT,FA7000086,221,FA7000086221,Test FS-1024E (EU) InnerLoop Test 2.21,¬M¥ô,Done,Done,SENAO111-202212-0171,2022/12/22,2023/1/6,,,,,,,,,,,
2022/10/4,1402A0212302,FS-1024E (EU) PRODUCT,FA7000087,221,FA7000087221,Test FS-1024E (EU) System Test 2.21,¬M¥ô,Done,Done,SENAO111-202212-0171,2022/12/22,2023/1/6,,,,,,,,,,,
2022/10/4,1402A0212302,FS-1024E (EU) PRODUCT,FA7000088,241,FA7000088241,Test FS-1024E (EU) MAC 2.41,¬M¥ô,Done,Done,SENAO111-202212-0171,2022/12/22,2023/1/6,,,,,,,,,,,
2022/10/4,1405A0002300,PNA90BGS-54,FA7000089,201,FA7000089201,Test PNA90BGS-54 Fianl Test 2.01,À³§B,Done,Done,SENAO111-202301-0064,2023/1/9,2023/1/17,,,,,,,,,,,
2022/10/4,1405A0002303,PNA90BGS-54-TG,FA7000090,201,FA7000090201,Test PNA90BGS-54-TG Fianl Test 2.01,À³§B,Done,Done,SENAO111-202301-0064,2023/1/9,2023/1/17,,,,,,,,,,,
2022/10/4,1102A1369301,PN91568 Wireless LAN Access Point,FA7000091,231,FA7000091231,Test PN91568 Wireless LAN Access Point Customer FW Upgrade Test 2.31,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1369301,PN91568 Wireless LAN Access Point,FA7000092,211,FA7000092211,Test PN91568 Wireless LAN Access Point Fianl Test 2.11,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1369301,PN91568 Wireless LAN Access Point,FA7000093,231,FA7000093231,Test PN91568 Wireless LAN Access Point Power Calibration Radio1 2.31,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1369301,PN91568 Wireless LAN Access Point,FA7000094,231,FA7000094231,Test PN91568 Wireless LAN Access Point Power Calibration Radio2 2.31,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1369301,PN91568 Wireless LAN Access Point,FA7000095,241,FA7000095241,Test PN91568 Wireless LAN Access Point Power Calibration Radio3 2.41,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1369301,PN91568 Wireless LAN Access Point,FA7000096,221,FA7000096221,Test PN91568 Wireless LAN Access Point Throughput Test 2G+5G 11AC 2.21,Â@¶f,Done,Progress,SENAO111-202307-0103,2023/7/21,,,,,,,,,,,,
2022/10/4,1102A1369301,PN91568 Wireless LAN Access Point,FA7000097,221,FA7000097221,Test PN91568 Wireless LAN Access Point Throughput Test 2G 11AX 2.21,Â@¶f,Done,Progress,SENAO111-202307-0103,2023/7/21,,,,,,,,,,,,
2022/10/4,1102A1369301,PN91568 Wireless LAN Access Point,FA7000098,221,FA7000098221,Test PN91568 Wireless LAN Access Point Throughput Test 5G 11AX 2.21,Â@¶f,Done,Progress,SENAO111-202307-0103,2023/7/21,,,,,,,,,,,,
2022/10/4,1102A1369301,PN91568 Wireless LAN Access Point,FA7000099,231,FA7000099231,Test PN91568 Wireless LAN Access Point MAC 2.31,Â@¶f,Done,Progress,SENAO111-202307-0103,2023/7/21,,,,,,,,,,,,
2022/10/4,1102A1372302,PN91564 Wireless LAN Access Point,FA7000100,231,FA7000100231,Test PN91564 Wireless LAN Access Point Customer FW Upgrade Test 2.31,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1372302,PN91564 Wireless LAN Access Point,FA7000101,251,FA7000101251,Test PN91564 Wireless LAN Access Point Fianl Test 2.51,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1372302,PN91564 Wireless LAN Access Point,FA7000102,231,FA7000102231,Test PN91564 Wireless LAN Access Point Power Calibration Radio3 2.31,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1372302,PN91564 Wireless LAN Access Point,FA7000103,241,FA7000103241,Test PN91564 Wireless LAN Access Point Power Calibration Radio12 2.41,Â@¶f,,,,,,,,,,,,,,,,
2022/10/4,1102A1372302,PN91564 Wireless LAN Access Point,FA7000104,241,FA7000104241,Test PN91564 Wireless LAN Access Point Throughput Test 2G+5G 11AC AX 2.41,Â@¶f,Done,Done,SENAO111-202307-0140,2023/7/28,2023/8/7,,,,,,,,,,,
2022/10/4,1102A1372302,PN91564 Wireless LAN Access Point,FA7000105,241,FA7000105241,Test PN91564 Wireless LAN Access Point MAC 2.41,Â@¶f,Done,Done,SENAO111-202307-0140,2023/7/28,2023/8/7,,,,,,,,,,,
2022/10/4,0912A0292300,EMA25S-12 PRODUCT LFP,FA7000106,201,FA7000106201,Test EMA25S-12 Fianl Test 2.01,À³§B,X,X,X,X,X,,,,,,,,,,,
2022/10/4,0912A0244301,SSF-3002-P PRODUCT,FA7000107,201,FA7000107201,Test SSF-3002-P Fianl Test 2.01,À³§B,Done,Done,SENAO111-202301-0063,2023/1/9,2023/1/17,,,,,,,,,,,
2022/10/4,1102A1135302,AP-95M,FA7000108,201,FA7000108201,Test AP-95M Firmware Upgrade 2.01,¯Õ·z,X,X,X,X,X,,,,,,,,,,,
2022/10/4,1102A1135302,AP-95M,FA7000109,231,FA7000109231,Test AP-95M Power Calibration 2G+5G 2.31,¯Õ·z,,,,,,,,,,,,,,,,
2022/10/4,1102A1135302,AP-95M,FA7000110,261,FA7000110261,Test AP-95M Throughput Test 2.61,¯Õ·z,X,X,X,X,X,,,,,,,,,,,
2022/10/4,1102A1135302,AP-95M,FA7000111,281,FA7000111281,Test AP-95M MAC 2.81,¯Õ·z,X,X,X,X,X,,,,,,,,,,,
2022/10/4,1102A1135300,FAP-221E (US),FA7000112,211,FA7000112211,Test FAP-221E (US) Power Calibration 2G+5G 2.11,¯Õ·z,,,,,,,,,,,,,,,,
2022/10/4,1102A1135300,FAP-221E (US),FA7000113,211,FA7000113211,Test FAP-221E (US) Throughput Test 2.11,¯Õ·z,,,,,,,,,,,,,,,,
2022/10/4,1102A1135300,FAP-221E (US),FA7000114,201,FA7000114201,Test FAP-221E (US) MAC 2.01,¯Õ·z,,,,,,,,,,,,,,,,
2022/10/4,1102A1135301,FAP-221E (EU),FA7000115,211,FA7000115211,Test FAP-221E (EU) Power Calibration 2G+5G 2.11,¯Õ·z,,,,,,,,,,,,,,,,
2022/10/4,1102A1135301,FAP-221E (EU),FA7000116,211,FA7000116211,Test FAP-221E (EU) Throughput Test 2.11,¯Õ·z,,,,,,,,,,,,,,,,
2022/10/4,1102A1135301,FAP-221E (EU),FA7000117,201,FA7000117201,Test FAP-221E (EU) MAC 2.01,¯Õ·z,,,,,,,,,,,,,,,,
2022/10/5,1107A0016300,Zephyr (H) SV25-HW,FA7000127,200,FA7000127200,Test Zephyr (H) SV25-HW MAC 2.00,À³§B,Done,Done,SENAO111-202212-0022,2022/12/5,2022/12/9,,,,,,,,,,,
2022/10/5,5216A2778000,Zephyr Sensor BD,FA7000128,201,FA7000128201,Test Zephyr Sensor BD(H) PCBA Test 2.01,À³§B,Done,Done,SENAO111-202301-0065,2023/1/9,2023/1/17,,,,,,,,,,,
2022/10/5,1107A0016301,Zephyr (M) SV23-HW,FA7000129,221,FA7000129221,Test Zephyr (M) SV23-HW MAC 2.21,À³§B,Done,Done,SENAO111-202301-0092,2023/1/16,2023/2/21,,,,,,,,,,,
2022/10/5,1107A0016302,Zephyr (L) SV21-HW,FA7000130,202,FA7000130202,Test Zephyr (L) SV21-HW MAC 2.02,À³§B,Done,Done,SENAO111-202301-0065,2023/1/9,2023/1/17,,,,,,,,,,,
2022/10/5,5216A2777000,Zephyr Main BD,FA7000131,221,FA7000131221,Test Zephyr Main BD PCBA Test 2.21,À³§B,Done,Done,SENAO111-202301-0092,2023/1/16,2023/2/21,,,,,,,,,,,
2022/10/5,1102A1371300,EWS357APv3 (FCC),FA7000132,201,FA7000132201,Test EWS357APv3 (FCC) Fianl Test 2.01,ÄÊ¼Ý,,,,,,,,,,,,,,,,
2022/10/5,1102A1371300,EWS357APv3 (FCC),FA7000133,221,FA7000133221,Test EWS357APv3 (FCC) Power Calibration 2.21,ÄÊ¼Ý,,,,,,,,,,,,,,,,
